UO DataPoint,Address,Building Type,Area [sqft],EUI [kBtu/sqft],Total Electricity End-Use Consumption [kBtu],Total Natural Gas End-Use Consumption [kBtu],January Peak Demand [kW],February Peak Demand [kW],March Peak Demand [kW],April Peak Demand [kW],May Peak Demand [kW],June Peak Demand [kW],July Peak Demand [kW],August Peak Demand [kW],September Peak Demand [kW],October Peak Demand [kW],November Peak Demand [kW],December Peak Demand [kW]
5b85c2e05653467fab8d783c,2011 PASO ROBLES ST,MFm,768.1126473364058,55.17443999674802,33619.07325751336,8757.830191695051,5.310989999999999,5.15237,4.86798,4.4691,4.48936,2.7560000000000002,2.2237799999999996,1.64146,2.5489300000000004,4.2903,4.75464,5.6416699999999995
5b85c2e05653467fab8d783d,1620 22ND ST,MFm,4057.6713097870643,29.235171042181186,73797.04098759488,44831.74979081991,3.5522799999999997,3.5501599999999995,3.5492,3.5466100000000003,3.5466100000000003,3.5466100000000003,3.5466100000000003,3.5466100000000003,3.5466100000000003,3.5466100000000003,3.5503099999999996,3.5478099999999997
5b85c2e05653467fab8d783e,1390 23RD ST,MFm,1625.9963075481705,48.17582129721318,32851.34139005958,45476.26543263297,1.53343,1.53304,1.53201,1.53044,1.53044,1.53044,1.53044,1.53044,1.53044,1.53044,1.53234,1.53187
5b85c2e05653467fab8d783f,1981 OCEAN ST,MFm,1885.8371050075432,67.41145610991303,73986.60441165755,53144.1059359677,5.25208,4.6913,5.75289,8.03494,6.730980000000001,6.260319999999999,6.2902499999999995,6.47807,8.17072,5.90691,5.30383,5.5832299999999995
5b85c2e05653467fab8d7840,1770 24TH ST,MFm,2154.0737525919494,49.34519291686369,43874.45449930345,62413.75737263193,2.04349,2.04282,2.0414499999999998,2.0392099999999997,2.0392099999999997,2.0392099999999997,2.0392099999999997,2.0392099999999997,2.0392099999999997,2.0392099999999997,2.0420399999999996,2.0412099999999995
5b85c2e05653467fab8d7841,2261 OCEAN ST,MFm,2955.5545222201554,43.04397054471079,66697.89075644813,60518.123132005305,3.02122,3.01926,3.0184200000000003,3.0161,3.0161,3.0161,3.0161,3.0161,3.0161,3.0161,3.01934,3.0171300000000003
5b85c2e05653467fab8d7842,2040 BEACH ST,MFm,6787.183713256315,34.360857938254696,134495.24937245972,98715.153080632,6.31084,6.30791,6.30608,6.301959999999999,6.301959999999999,6.301959999999999,6.301959999999999,6.301959999999999,6.301959999999999,6.301959999999999,6.307519999999999,6.304139999999999
5b85c2e05653467fab8d7843,2130 WILMAR AVE,MFm,856.3767127534255,58.44480610772843,40291.70578451912,9762.516339227168,6.410900000000001,6.218039999999999,5.87084,5.38712,5.41976,3.3644299999999996,2.7216,2.0063999999999997,3.1040099999999993,5.17658,5.748889999999999,6.802619999999999
5b85c2e05653467fab8d7844,1322 24TH ST,MFm,1307.1692810052286,53.747947508921335,27970.08322044599,42282.12173717708,1.28559,1.28485,1.2841,1.28243,1.28243,1.28243,1.28243,1.28243,1.28243,1.28243,1.28456,1.28381
5b85c2e05653467fab8d7845,1346 21ST ST,MFm,1638.2671654232195,49.28443490349329,32860.81956126271,47874.24274702566,1.53727,1.5368,1.5356999999999998,1.53395,1.53395,1.53395,1.53395,1.53395,1.53395,1.53395,1.53616,1.53561
5b85c2e05653467fab8d7846,2191 VISTA ST,MFm,1935.9969275494107,45.98765226496053,46395.648039336884,42632.81407169302,2.07011,2.06869,2.06807,2.06618,2.06618,2.06618,2.06618,2.06618,2.06618,2.06618,2.06859,2.06703
5b85c2e05653467fab8d7847,1362 19TH ST,MFm,2562.025957385248,47.05047722348325,47978.50263026011,72574.3569023907,2.2895100000000004,2.28885,2.2871900000000003,2.2846100000000003,2.2846100000000003,2.2846100000000003,2.2846100000000003,2.2846100000000003,2.2846100000000003,2.2846100000000003,2.28784,2.28743
5b85c2e05653467fab8d7848,1347 20TH CT,MFm,2608.4184112812673,46.28351737354681,60726.64289847423,59996.82371583298,2.7287700000000004,2.72746,2.7264300000000006,2.72417,2.72417,2.72417,2.72417,2.72417,2.72417,2.72417,2.7269900000000002,2.7251200000000004
5b85c2e05653467fab8d7849,1564 22ND ST,MFm,1570.9927253187839,47.695921046678905,40670.832632644444,34263.58889932642,1.78084,1.77953,1.77909,1.77764,1.77764,1.77764,1.77764,1.77764,1.77764,1.77764,1.7795400000000001,1.77824
5b85c2e05653467fab8d784a,2131 VISTA ST,MFm,1386.3916616722122,63.589865124007005,26718.96462163241,61446.98390991236,1.26421,1.26377,1.2628800000000002,1.2614100000000001,1.2614100000000001,1.2614100000000001,1.2614100000000001,1.2614100000000001,1.2614100000000001,1.2614100000000001,1.2632800000000002,1.26272
5b85c2e05653467fab8d784b,1641 20TH ST,MFm,3014.433112199558,43.704383733519435,97426.12179700588,34320.45792654522,14.964759999999998,16.51211,14.214470000000002,12.2256,12.405149999999999,7.052980000000001,5.50128,3.3244100000000003,5.28462,12.702259999999999,15.05066,17.17195
5b85c2e05653467fab8d784c,2143 WARNER ST,MFm,6948.534730402794,32.87008523338398,189241.16624175696,39163.80341134627,27.13181,29.54223,24.37779,19.11361,17.87593,8.87039,7.314,6.289490000000001,8.5129,22.43061,26.796310000000002,30.826690000000003
5b85c2e05653467fab8d784d,2141 BEACH ST,MFm,6918.072863923506,33.95316286303016,156162.34874282216,78735.16818442727,23.05431,26.28295,21.446489999999997,17.50966,17.9497,9.34163,6.7880199999999995,5.6038499999999996,6.025029999999999,19.134869999999996,24.1226,26.32
5b85c2e05653467fab8d784e,296 ASPEN ST,MFm,3706.3372737856585,111.65649810733714,108117.4989141401,305718.4121570605,16.16773,17.69166,14.76069,12.4021,11.939949999999998,5.949949999999999,4.611219999999999,3.48541,4.97153,13.56581,16.074309999999997,18.44311
5b85c2e05653467fab8d784f,1348 18TH ST,MFm,1488.2182542142862,51.3396407470658,59447.08978605126,16965.92645360838,9.13668,8.84868,8.37687,7.711650000000001,7.761620000000001,4.814120000000001,3.8833100000000003,2.83854,4.43771,7.386650000000001,8.1712,9.676029999999999
5b85c2e05653467fab8d7850,1324 18TH ST,MFm,1792.51400169467,48.07984124710632,33344.2062926225,52840.804457467435,1.59444,1.59393,1.59273,1.59078,1.59078,1.59078,1.59078,1.59078,1.59078,1.59087,1.59324,1.5928600000000002
5b85c2e05653467fab8d7851,1785 OCEAN ST,MFm,3747.993607098325,34.337963614375994,82488.523980868,46206.084615274216,3.7605700000000004,3.7581200000000003,3.7573500000000006,3.75523,3.75523,3.75523,3.75523,3.75523,3.75523,3.75523,3.7583300000000004,3.7559300000000007
