UO DataPoint,Address,Building Type,Area [sqft],EUI [kBtu/sqft],Total Electricity End-Use Consumption [kBtu],Total Natural Gas End-Use Consumption [kBtu],January Peak Demand [kW],February Peak Demand [kW],March Peak Demand [kW],April Peak Demand [kW],May Peak Demand [kW],June Peak Demand [kW],July Peak Demand [kW],August Peak Demand [kW],September Peak Demand [kW],October Peak Demand [kW],November Peak Demand [kW],December Peak Demand [kW]
5b88689b56534601ff81c704,2011 PASO ROBLES ST,MFm,768.1126473364058,54.41892730875092,33040.904814122245,8757.830191695051,5.34454,5.14282,3.99937,3.0295199999999998,2.20069,1.57915,1.53241,1.08377,1.6948599999999998,2.2480399999999996,4.63537,5.07198
5b88689b56534601ff81c705,1620 22ND ST,MFm,4057.6713097870643,44.56820418448114,124931.77462849834,55911.731927282584,6.009829999999999,7.085430000000001,7.988810000000001,8.25799,9.867930000000001,11.10276,11.22755,11.705420000000002,12.07441,10.77859,7.333779999999999,6.5397500000000015
5b88689b56534601ff81c706,1390 23RD ST,MFm,1625.9963075481705,47.9178198781186,36860.60780898491,41040.48130956664,1.7759900000000002,1.7751400000000002,1.77373,1.7731400000000002,1.77306,1.77306,1.77306,1.77306,1.77306,1.77306,1.77457,1.77545
5b88689b56534601ff81c707,1981 OCEAN ST,MFm,1885.8371050075432,68.20571303832023,80488.6298570069,48139.631540713395,4.0764499999999995,4.66373,5.79039,5.72756,6.94,7.70484,7.97719,7.948779999999999,8.15334,7.27893,4.8417,4.25783
5b88689b56534601ff81c708,1770 24TH ST,MFm,2154.0737525919494,48.969197674701974,49286.4902562925,56205.55523457971,2.3676399999999997,2.3664899999999998,2.36447,2.36361,2.36346,2.36346,2.36346,2.36346,2.36346,2.36346,2.36562,2.36687
5b88689b56534601ff81c709,2261 OCEAN ST,MFm,2955.5545222201554,47.76108181464135,75541.02448897138,65607.90106808781,3.5141500000000003,3.51215,3.50869,3.5084400000000002,3.5084400000000002,3.5084400000000002,3.5084400000000002,3.5084400000000002,3.5084400000000002,3.5084400000000002,3.51079,3.51358
5b88689b56534601ff81c70a,2040 BEACH ST,MFm,6787.183713256315,47.48282772442331,221580.68638684732,100705.56903328995,9.69896,11.345379999999999,15.07532,14.51217,17.72983,19.76479,21.266600000000004,20.0456,20.316270000000003,18.01399,11.794229999999999,10.02932
5b88689b56534601ff81c70b,2130 WILMAR AVE,MFm,856.3767127534255,57.66199634126059,39628.23380029979,9762.516339227168,2.06732,2.19512,2.5326899999999997,2.53779,3.1496999999999997,3.54317,3.57974,3.7013000000000003,3.79064,3.32027,2.1944,1.96903
5b88689b56534601ff81c70c,1322 24TH ST,MFm,1307.1692810052286,66.38033098445315,47182.33624919693,39590.32111548726,2.4683699999999997,2.90127,3.1696699999999995,3.30189,3.9514900000000006,4.43597,4.429069999999999,4.73591,4.8945799999999995,4.31339,2.95926,2.62067
5b88689b56534601ff81c70d,1346 21ST ST,MFm,1638.2671654232195,48.87057597183988,36784.78243935984,43277.329713506064,1.7774599999999998,1.7769099999999998,1.77507,1.7744299999999997,1.7742399999999998,1.7742399999999998,1.7742399999999998,1.7742399999999998,1.7742399999999998,1.7742399999999998,1.7759599999999998,1.7768499999999998
5b88689b56534601ff81c70e,2191 VISTA ST,MFm,1935.9969275494107,65.34216145164595,79701.94164714686,46803.20940107161,4.19783,4.857340000000001,5.68193,5.68058,6.90465,7.63484,7.742999999999999,8.1013,8.360610000000001,7.53073,5.0537399999999995,4.528460000000001
