UO DataPoint,Address,Building Type,Area [sqft],EUI [kBtu/sqft],Total Electricity End-Use Consumption [kBtu],Total Natural Gas End-Use Consumption [kBtu],January Peak Demand [kW],February Peak Demand [kW],March Peak Demand [kW],April Peak Demand [kW],May Peak Demand [kW],June Peak Demand [kW],July Peak Demand [kW],August Peak Demand [kW],September Peak Demand [kW],October Peak Demand [kW],November Peak Demand [kW],December Peak Demand [kW],Electricty Cost,Gas Cost,Other Cost,Total Cost,Scenario Name
5c0c22de6086123018f6f02d,2011 PASO ROBLES ST,MFm,768.1126473364058,55.15770952929819,33600.11691510709,8757.830191695051,5.23771,5.15099,4.84629,4.395580000000001,4.497260000000001,2.7627800000000002,2.2562699999999998,1.63118,2.5215899999999998,4.2588799999999996,4.82056,5.60549,2841.8,79.55,57.57,2978.92,LPD + PLD
5c0c22de6086123018f6f02e,1620 22ND ST,MFm,4057.6713097870643,31.171502511768136,72735.48581284397,53750.70889296822,3.05313,3.05124,3.05038,3.04713,3.04713,3.04713,3.04713,3.04713,3.04713,3.04713,3.04998,3.04782,6345.97,488.15,89.05,6923.17,LPD + PLD
5c0c22de6086123018f6f02f,1390 23RD ST,MFm,1625.9963075481705,48.30438173130126,32197.347577043387,46338.77901211808,1.3257899999999998,1.3250099999999998,1.3243299999999998,1.3227799999999998,1.3227799999999998,1.3227799999999998,1.3227799999999998,1.3227799999999998,1.3227799999999998,1.3227799999999998,1.3243399999999999,1.3236999999999999,2808.48,420.91,121.88,3351.28,LPD + PLD
5c0c22de6086123018f6f030,1981 OCEAN ST,MFm,1885.8371050075432,62.868693921827955,68167.00729293378,50395.43628705908,5.0887899999999995,4.69355,5.41592,7.59559,6.639950000000001,5.900780000000001,6.23704,6.135720000000001,7.909190000000001,5.81809,5.296290000000001,5.466010000000001,6041.78,457.68,141.3,6640.76,LPD + PLD
5c0c22de6086123018f6f031,1770 24TH ST,MFm,2154.0737525919494,49.74408248290412,43078.28811824026,64062.959161977116,1.7711299999999999,1.7699699999999998,1.76901,1.7668,1.7668,1.7668,1.7668,1.7668,1.7668,1.7668,1.76908,1.7685199999999999,3758.35,581.81,161.46,4501.63,LPD + PLD
5c0c22de6086123018f6f032,2261 OCEAN ST,MFm,2955.5545222201554,42.64596152958878,65228.77421996249,60811.94643930244,2.63415,2.63228,2.63181,2.62929,2.62929,2.62929,2.62929,2.62929,2.62929,2.62929,2.6315500000000003,2.62955,5687.81,552.32,221.43,6461.56,LPD + PLD
5c0c22de6086123018f6f033,2040 BEACH ST,MFm,6787.183713256315,31.182949673707483,127490.8808533443,84156.68211261943,5.30099,5.297529999999999,5.2966299999999995,5.29258,5.29258,5.29258,5.29258,5.29258,5.29258,5.29258,5.2963499999999994,5.2928999999999995,11121.87,764.31,251.86,12138.04,LPD + PLD
5c0c22de6086123018f6f034,2130 WILMAR AVE,MFm,856.3767127534255,58.57160543997969,40405.443838956715,9762.516339227168,6.335730000000002,6.218430000000001,5.85024,5.30276,5.435500000000001,3.37182,2.7617499999999997,2.00005,3.0707799999999996,5.14193,5.8311,6.77308,3413.92,88.64,64.17,3566.73,LPD + PLD
5c0c22de6086123018f6f035,1322 24TH ST,MFm,1307.1692810052286,54.06494583954949,27704.694426758266,42964.55006380268,1.12714,1.12633,1.12568,1.12406,1.12406,1.12406,1.12406,1.12406,1.12406,1.12406,1.12571,1.12517,2416.02,390.23,97.97,2904.22,LPD + PLD
5c0c22de6086123018f6f036,1346 21ST ST,MFm,1638.2671654232195,49.445575721562605,32273.172946668452,48727.27815530764,1.3305,1.32964,1.32889,1.3272,1.3272,1.3272,1.3272,1.3272,1.3272,1.3272,1.3289499999999999,1.32864,2815.43,442.53,122.78,3380.75,LPD + PLD
5c0c22de6086123018f6f037,2191 VISTA ST,MFm,1935.9969275494107,45.734053600458004,45476.26543263297,43059.331775834005,1.81806,1.81677,1.81636,1.8144,1.8144,1.8144,1.8144,1.8144,1.8144,1.8144,1.8161,1.8145799999999999,3965.53,391.08,145.12,4501.72,LPD + PLD
5c0c22de6086123018f6f038,1362 19TH ST,MFm,2562.025957385248,47.33313406829335,47087.5545371656,74176.16783572022,1.9670099999999997,1.9656699999999998,1.9645799999999998,1.9620699999999998,1.9620699999999998,1.9620699999999998,1.9620699999999998,1.9620699999999998,1.9620699999999998,1.9620699999999998,1.9646899999999998,1.9640299999999997,4107.67,673.73,192.05,4973.44,LPD + PLD
5c0c22de6086123018f6f039,1347 20TH CT,MFm,2608.4184112812673,45.98324951036848,59646.13138131706,60290.647023130114,2.39444,2.3931899999999997,2.39247,2.39008,2.39008,2.39008,2.39008,2.39008,2.39008,2.39008,2.3920999999999997,2.3903999999999996,5201.3,547.58,195.42,5944.3,LPD + PLD
5c0c22de6086123018f6f03a,1564 22ND ST,MFm,1570.9927253187839,51.484051097685295,40964.65593994158,39912.57893639379,1.61095,1.61006,1.60962,1.6078800000000002,1.6078800000000002,1.6078800000000002,1.6078800000000002,1.6078800000000002,1.6078800000000002,1.6078800000000002,1.60925,1.6080800000000002,3570.82,362.52,117.69,4051.03,LPD + PLD
5c0c22de6086123018f6f03b,2131 VISTA ST,MFm,1386.3916616722122,64.23090619261059,26320.88143110082,62745.493364741604,1.09238,1.09159,1.09096,1.08951,1.08951,1.08951,1.08951,1.08951,1.08951,1.08951,1.09105,1.0907499999999999,2295.16,569.79,240.47,3105.43,LPD + PLD
5c0c22de6086123018f6f03c,1641 20TH ST,MFm,3014.433112199558,40.215640994772954,86895.87359032492,34320.45792654522,14.383550000000001,15.84387,13.41843,11.171540000000002,11.4973,6.664270000000001,5.149640000000001,2.43683,5.1491999999999996,11.825510000000001,14.67289,16.620900000000002,7388.27,311.7,225.78,7925.75,LPD + PLD
5c0c22de6086123018f6f03d,2143 WARNER ST,MFm,6948.534730402794,32.072306101303134,183696.436087924,39163.80341134627,27.1017,29.07033,24.392840000000003,20.3449,20.19708,10.375960000000001,7.09132,5.54814,8.607860000000002,22.133270000000003,26.68636,31.04115,15656.63,355.68,257.63,16269.95,LPD + PLD
5c0c22de6086123018f6f03e,2141 BEACH ST,MFm,6918.072863923506,35.32858339758897,165602.60726114278,78801.5153828492,24.636510000000005,26.910600000000002,23.401880000000002,19.776830000000004,20.692030000000003,11.97298,8.902750000000001,4.96412,8.31556,20.45766,24.782900000000005,28.243960000000005,14091.22,715.66,518.49,15325.38,LPD + PLD
5c0c22de6086123018f6f03f,296 ASPEN ST,MFm,3706.3372737856585,111.22678925915231,106525.16615201374,305718.4121570605,16.40963,17.558,15.11064,12.78744,13.013130000000002,7.36433,5.5937,3.33436,5.92607,13.53589,16.12193,18.741039999999998,9057.14,2776.59,1954.94,13788.67,LPD + PLD
5c0c22de6086123018f6f040,1348 18TH ST,MFm,1488.2182542142862,51.478767792174835,59646.13138131705,16956.448282405247,9.167000000000002,8.96699,8.44819,7.69956,7.85726,4.875079999999999,3.9673700000000003,2.8540299999999994,4.45712,7.45017,8.385750000000002,9.771810000000002,5039.05,154.03,111.54,5304.62,LPD + PLD
5c0c22de6086123018f6f041,1324 18TH ST,MFm,1792.51400169467,48.14940476966083,32671.256137200045,53636.97083853062,1.3670200000000001,1.36603,1.3652400000000002,1.3633600000000001,1.3633600000000001,1.3633600000000001,1.3633600000000001,1.3633600000000001,1.3633600000000001,1.3633600000000001,1.3653300000000002,1.3648200000000001,2849.64,487.2,134.33,3471.17,LPD + PLD
5c0c22de6086123018f6f042,1785 OCEAN ST,MFm,3747.993607098325,36.67406520092179,82422.17678244608,55039.74017659434,3.3294,3.32762,3.32687,3.3240600000000002,3.3240600000000002,3.3240600000000002,3.3240600000000002,3.3240600000000002,3.3240600000000002,3.3240600000000002,3.32634,3.3243,7186.5,499.89,120.31,7806.7,LPD + PLD
5c0c22de6086123018f6f043,1580 23RD ST,MFm,5816.386632773266,50.22838548803045,82602.2620353056,209552.88713007132,3.6507200000000006,3.648510000000001,3.646280000000001,3.6424600000000007,3.6424600000000007,3.6424600000000007,3.6424600000000007,3.6424600000000007,3.6424600000000007,3.643100000000001,3.646830000000001,3.6473400000000007,7211.98,1903.14,872.0,9987.12,LPD + PLD
5c0c22de6086123018f6f044,2381 CIENAGA ST,MFm,2320.0532512176133,46.1461514302746,42139.94916913009,64915.994570259114,1.76441,1.76325,1.7623,1.76017,1.76017,1.76017,1.76017,1.76017,1.76017,1.76017,1.7624,1.76181,3676.35,589.63,173.91,4439.89,LPD + PLD
5c0c22de6086123018f6f045,1712 21ST ST,MFm,3333.0448605341653,39.750710109851674,94525.80140884712,37960.07566854835,14.620069999999998,15.75189,13.64101,11.536399999999999,11.90177,6.83866,5.2237,3.0082500000000003,5.249460000000001,12.0683,14.50519,16.72935,8039.67,344.8,249.76,8634.24,LPD + PLD
5c0c22de6086123018f6f046,2171 PASO ROBLES ST,MFm,6164.276217441323,36.93030551817954,157441.90185524512,70204.81410160741,23.45889,25.29647,21.57979,18.10334,18.50072,10.14581,7.40652,4.72833,7.68094,19.248549999999998,23.233289999999997,26.89861,13403.27,637.62,461.97,14502.87,LPD + PLD
5c0c22de6086123018f6f047,1961 PASO ROBLES ST,MFm,10940.007991127093,25.644284396898968,229570.7847110886,50983.08290165334,33.542680000000004,37.16506,29.99548,23.396259999999998,22.832680000000003,9.07988,7.405579999999999,7.405579999999999,8.19955,27.12823,34.132850000000005,38.95594,19621.41,463.05,335.44,20419.91,LPD + PLD
5c0c22de6086123018f6f048,1415 LONGBRANCH AVE,MFm,13405.481672074455,34.809938906644575,313594.77242686413,153053.50858819447,48.03468999999999,53.13695,44.54488,36.92322,38.726910000000004,22.20773,16.32415,9.210650000000001,15.3584,39.43429999999999,49.02316,55.643600000000006,26675.34,1390.01,1004.45,29069.81,LPD + PLD
5c0c22de6086123018f6f049,1395 23RD ST,MFm,2313.056709446752,35.24933381493193,73588.52122112595,7933.229297022465,10.902700000000003,10.67716,10.107540000000002,9.13169,9.334620000000001,5.67164,4.5390299999999995,3.1937900000000004,5.16763,8.785380000000002,9.955810000000001,11.589760000000002,6223.06,72.08,52.17,6347.32,LPD + PLD
5c0c22de6086123018f6f04a,2375 OCEAN ST,MFm,5656.219645772625,27.349911525862105,96952.21323684922,57731.54079828415,4.106179999999999,4.104069999999999,4.10312,4.09985,4.09985,4.09985,4.09985,4.09985,4.09985,4.09985,4.1024899999999995,4.10051,8460.76,524.36,101.72,9086.83,LPD + PLD
5c0c22de6086123018f6f04b,1320 TAMERA DR,MFm,1504.579398047685,49.15675502032362,29060.07290880631,44907.57516044497,1.20237,1.20161,1.20094,1.19933,1.19933,1.19933,1.19933,1.19933,1.19933,1.19933,1.2009,1.2004,2534.81,407.79,112.74,3055.34,LPD + PLD
5c0c22de6086123018f6f04c,188 Irish Way,MFm,1546.558648672853,50.89232088051275,30908.316293417276,47788.93920619746,1.2711500000000002,1.27021,1.2694900000000002,1.2677800000000001,1.2677800000000001,1.2677800000000001,1.2677800000000001,1.2677800000000001,1.2677800000000001,1.2677800000000001,1.2696100000000001,1.26929,2696.67,434.02,115.89,3246.58,LPD + PLD
5c0c22de6086123018f6f04d,381 VISTA DR,MFm,6536.599878755313,24.461704513472288,101094.17405261843,58802.57414423821,4.37872,4.376060000000001,4.3751500000000005,4.37171,4.37171,4.37171,4.37171,4.37171,4.37171,4.37171,4.37485,4.37211,8824.16,534.07,139.95,9498.18,LPD + PLD
5c0c22de6086123018f6f04e,823 LOS CIERVOS,MFm,2870.627269032316,43.30725526931584,46850.600257087266,77465.09324320742,2.00623,2.0047900000000003,2.00369,2.00117,2.00117,2.00117,2.00117,2.00117,2.00117,2.00164,2.0038400000000003,2.00395,4089.04,703.54,215.13,5007.72,LPD + PLD
5c0c22de6086123018f6f04f,1006 GOLDENROD LN,MFm,2713.0436205316855,39.750710109851674,54708.00418448467,53134.62776476456,2.2448900000000003,2.24334,2.24291,2.2408,2.2408,2.2408,2.2408,2.2408,2.2408,2.2408,2.2426500000000003,2.2410200000000002,4771.67,482.59,203.14,5457.4,LPD + PLD
