UO DataPoint,Address,Building Type,Area [sqft],EUI [kBtu/sqft],Total Electricity End-Use Consumption [kBtu],Total Natural Gas End-Use Consumption [kBtu],January Peak Demand [kW],February Peak Demand [kW],March Peak Demand [kW],April Peak Demand [kW],May Peak Demand [kW],June Peak Demand [kW],July Peak Demand [kW],August Peak Demand [kW],September Peak Demand [kW],October Peak Demand [kW],November Peak Demand [kW],December Peak Demand [kW],Electricty Cost,Gas Cost,Other Cost,Total Cost,Scenario Name
5c05661c608612131adcb467,2011 PASO ROBLES ST,MFm,4057.6713097870643,32.560131310103124,86715.7883374654,45400.440063007896,4.25395,4.252689999999999,4.25104,4.24857,4.24857,4.24857,4.24857,4.24857,4.24857,4.24857,4.251709999999999,4.24947,7580.13,412.28,89.05,8081.46,Baseline
5c05b7ba6086127ceccf9fdb,1620 22ND ST,MFm,768.1126473364058,60.26314375424825,37524.07979320423,8757.830191695051,5.46514,5.34645,5.04728,4.5884,4.73023,2.94216,2.42961,1.79197,2.6901800000000002,4.45357,5.01049,5.835710000000001,3183.72,79.55,57.57,3320.84,Baseline
5c05b7ba6086127ceccf9fdc,1390 23RD ST,MFm,1625.9963075481705,53.13772572246214,38424.50605750188,47969.02445905699,1.8282400000000003,1.8279600000000003,1.8267900000000001,1.8249400000000002,1.8249400000000002,1.8249400000000002,1.8249400000000002,1.8249400000000002,1.8249400000000002,1.8253400000000002,1.8271600000000003,1.8277700000000003,3357.35,435.71,121.88,3914.94,Baseline
5c05b7ba6086127ceccf9fdd,1981 OCEAN ST,MFm,1885.8371050075432,67.99261971606465,79569.24725030297,48660.93095688571,5.46514,5.04577,6.06726,8.17945,7.23688,6.28953,6.7973300000000005,6.810060000000001,8.41943,6.207210000000001,5.63131,5.7697400000000005,7063.01,441.9,141.3,7646.21,Baseline
5c05b7ba6086127ceccf9fde,1770 24TH ST,MFm,2154.0737525919494,54.665481565906155,51343.253407372395,66423.02379155728,2.43646,2.4360299999999997,2.43439,2.43172,2.43172,2.43172,2.43172,2.43172,2.43172,2.4324,2.4349,2.4358,4484.64,603.23,161.46,5249.34,Baseline
5c05b7ba6086127ceccf9fdf,2261 OCEAN ST,MFm,2955.5545222201554,47.0161357376652,76640.49234853484,62309.497489397465,3.5500399999999996,3.5490099999999996,3.54756,3.54511,3.54511,3.54511,3.54511,3.54511,3.54511,3.54511,3.54804,3.5459499999999995,6693.27,565.97,221.43,7480.67,Baseline
5c05b7ba6086127ceccf9fe0,2040 BEACH ST,MFm,6787.183713256315,35.271347587892215,153916.0221676796,85483.62608105809,7.410830000000001,7.4087700000000005,7.40624,7.40289,7.40289,7.40289,7.40289,7.40289,7.40289,7.40289,7.407330000000001,7.40448,13449.32,776.36,251.86,14477.54,Baseline
5c05b7ba6086127ceccf9fe1,2130 WILMAR AVE,MFm,856.3767127534255,63.8804469270828,44954.96601646065,9762.516339227168,6.603620000000001,6.4522,6.09063,5.53308,5.71018,3.5847599999999997,2.96757,2.19132,3.2712,5.374860000000001,6.057550000000001,7.040990000000001,3809.85,88.64,64.17,3962.66,Baseline
5c05b7ba6086127ceccf9fe2,1322 24TH ST,MFm,1307.1692810052286,59.22761587419628,32671.256137200045,44746.446249991706,1.52989,1.52953,1.52844,1.52648,1.52648,1.52648,1.52648,1.52648,1.52648,1.52705,1.5287300000000001,1.5293100000000002,2854.03,406.37,97.97,3358.37,Baseline
5c05b7ba6086127ceccf9fe3,1346 21ST ST,MFm,1638.2671654232195,54.36521370272782,38585.63496795514,50471.261656684146,1.8379599999999998,1.8376599999999998,1.83643,1.83438,1.83438,1.83438,1.83438,1.83438,1.83438,1.8349499999999999,1.8368399999999998,1.8375,3371.65,458.4,122.78,3952.83,Baseline
