Measure,Argument,Prototype,Prototype-New Hvac,Prototype-New Hvac New Const Load Sch,Typical-Bar-Sliced,Typical-Bar-Blended,Typical-Urban-Blended,Prototype-Prototype-Blended,Prototype-Bar-Sliced,Prototype-Bar-Blended
Create DOE Prototype Building,template,90.1-2004,90.1-2004,90.1-2004,90.1-2004,90.1-2010,90.1-2004,90.1-2004,90.1-2010,90.1-2010
Create DOE Prototype Building,climate_zone,ASHRAE 169-2006-5B,ASHRAE 169-2006-5B,ASHRAE 169-2006-5B,ASHRAE 169-2006-5B,ASHRAE 169-2006-5B,ASHRAE 169-2006-5B,ASHRAE 169-2006-5B,ASHRAE 169-2006-5B,ASHRAE 169-2006-5B
Create DOE Prototype Building,__SKIP__,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Create DOE Prototype Building,building_type,SmallOffice,SmallOffice,SmallOffice,SmallOffice,SmallOffice,SmallOffice,SmallOffice,SmallOffice,SmallOffice
Create DOE Prototype Building,epw_file,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
set_run_period,__SKIP__,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
set_run_period,timesteps_per_hour,4,4,4,4,4,4,4,4,4
set_run_period,begin_date,1/1/17,1/1/17,1/1/17,1/1/17,1/1/17,1/1/17,1/1/17,1/1/17,1/1/17
set_run_period,end_date,12/31/17,12/31/17,12/31/17,12/31/17,12/31/17,12/31/17,12/31/17,12/31/17,12/31/17
ChangeBuildingLocation,__SKIP__,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChangeBuildingLocation,weather_file_name,USA_CO_Denver.Intl.AP.725650_TMY3.epw,USA_CO_Denver.Intl.AP.725650_TMY3.epw,USA_CO_Denver.Intl.AP.725650_TMY3.epw,USA_CO_Denver.Intl.AP.725650_TMY3.epw,USA_CO_Denver.Intl.AP.725650_TMY3.epw,USA_CO_Denver.Intl.AP.725650_TMY3.epw,USA_CO_Denver.Intl.AP.725650_TMY3.epw,USA_CO_Denver.Intl.AP.725650_TMY3.epw,USA_CO_Denver.Intl.AP.725650_TMY3.epw
ChangeBuildingLocation,climate_zone,5B,5B,5B,5B,5B,5B,5B,5B,5B
Create Bar From Model 1,bar_division_method,Multiple Space Types - Individual Stories Sliced,Multiple Space Types - Individual Stories Sliced,Multiple Space Types - Individual Stories Sliced,Multiple Space Types - Individual Stories Sliced,Multiple Space Types - Individual Stories Sliced,Multiple Space Types - Individual Stories Sliced,Multiple Space Types - Individual Stories Sliced,Multiple Space Types - Individual Stories Sliced,Multiple Space Types - Individual Stories Sliced
Create Bar From Model 1,__SKIP__,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Create Bar From Model 1,bar_calc_method,Bar - Reduced Bounding Box,Bar - Reduced Bounding Box,Bar - Reduced Bounding Box,Bar - Reduced Bounding Box,Bar - Reduced Bounding Box,Bar - Reduced Bounding Box,Bar - Reduced Bounding Box,Bar - Stretched,Bar - Stretched
create_bar_from_building_type_ratios,bldg_type_a,,,,,,,,,
create_bar_from_building_type_ratios,bldg_type_a_num_units,,,,,,,,,
create_bar_from_building_type_ratios,bldg_type_b,,,,,,,,,
create_bar_from_building_type_ratios,bldg_type_b_fract_bldg_area,,,,,,,,,
create_bar_from_building_type_ratios,bldg_type_b_num_units,,,,,,,,,
create_bar_from_building_type_ratios,bldg_type_c,,,,,,,,,
create_bar_from_building_type_ratios,bldg_type_c_fract_bldg_area,,,,,,,,,
create_bar_from_building_type_ratios,bldg_type_c_num_units,,,,,,,,,
create_bar_from_building_type_ratios,bldg_type_d,,,,,,,,,
